,0,1,2,3
contig_18095_24,0.0,3.0,0.0,1.0
contig_18095_25,0.0,3.0,0.0,1.0
contig_18095_26,2.0,2.0,0.0,2.0
contig_18130_10,4.0,3.0,2.0,2.0
contig_18120_2,0.0,2.0,0.0,0.0
contig_18120_3,0.0,3.0,0.0,1.0
contig_18083_15,0.0,0.0,0.0,0.0
contig_18105_19,0.0,1.0,0.0,1.0
contig_18105_18,2.0,3.0,0.0,2.0
contig_18066_26,0.0,2.0,0.0,0.0
contig_18066_27,0.0,2.0,0.0,0.0
contig_18066_24,0.0,3.0,1.0,2.0
contig_18066_25,0.0,3.0,0.0,1.0
contig_18066_22,4.0,4.0,0.0,2.0
contig_18066_23,0.0,3.0,2.0,4.0
contig_18066_20,0.0,3.0,3.0,0.0
contig_18066_21,9.0,3.0,4.0,0.0
contig_18066_28,0.0,1.0,0.0,1.0
contig_18066_29,0.0,0.0,0.0,0.0
contig_18099_19,0.0,0.0,0.0,0.0
contig_18062_39,0.0,3.0,0.0,2.0
contig_18062_38,3.0,2.0,7.0,4.0
contig_18062_35,0.0,3.0,0.0,2.0
contig_18062_34,0.0,3.0,0.0,1.0
contig_18062_37,1.0,3.0,1.0,3.0
contig_18062_36,0.0,2.0,0.0,0.0
contig_18062_31,0.0,3.0,0.0,1.0
contig_18062_30,3.0,2.0,5.0,2.0
contig_18062_33,0.0,3.0,0.0,0.0
contig_18062_32,0.0,2.0,0.0,0.0
contig_18169_1,0.0,2.0,0.0,0.0
contig_18169_3,1.0,2.0,0.0,0.0
contig_18061_27,0.0,2.0,0.0,0.0
contig_18061_26,0.0,2.0,0.0,0.0
contig_18061_25,0.0,3.0,0.0,0.0
contig_18061_24,0.0,2.0,0.0,0.0
contig_18061_23,0.0,3.0,1.0,2.0
contig_18061_22,0.0,2.0,0.0,0.0
contig_18061_21,0.0,3.0,1.0,2.0
contig_18061_20,0.0,3.0,0.0,1.0
contig_18120_16,0.0,2.0,0.0,0.0
contig_18169_5,0.0,3.0,1.0,0.0
contig_18120_14,0.0,3.0,0.0,2.0
contig_18120_15,0.0,3.0,0.0,3.0
contig_18120_12,0.0,3.0,0.0,2.0
contig_18120_13,3.0,3.0,0.0,2.0
contig_18120_10,1.0,2.0,0.0,1.0
contig_18120_11,0.0,2.0,0.0,0.0
contig_18069_8,0.0,0.0,0.0,0.0
contig_18069_9,0.0,1.0,0.0,0.0
contig_18069_4,0.0,0.0,0.0,0.0
contig_18069_5,0.0,0.0,0.0,0.0
contig_18069_6,0.0,0.0,0.0,0.0
contig_18069_7,0.0,0.0,0.0,0.0
contig_18069_1,0.0,0.0,0.0,0.0
contig_18069_2,0.0,0.0,0.0,0.0
contig_18069_3,0.0,1.0,0.0,1.0
contig_18097_17,0.0,3.0,0.0,0.0
contig_18097_16,0.0,3.0,0.0,0.0
contig_18082_27,5.0,4.0,0.0,1.0
contig_18097_14,0.0,0.0,0.0,0.0
contig_18097_13,0.0,0.0,0.0,0.0
contig_18097_12,0.0,0.0,0.0,0.0
contig_18097_11,0.0,0.0,0.0,0.0
contig_18097_10,0.0,2.0,0.0,1.0
contig_18097_19,0.0,0.0,0.0,0.0
contig_18097_18,0.0,1.0,0.0,0.0
contig_18063_60,0.0,2.0,5.0,0.0
contig_18058_54,0.0,0.0,0.0,0.0
contig_18172_5,0.0,0.0,0.0,0.0
contig_18091_11,0.0,0.0,0.0,0.0
contig_18091_10,0.0,0.0,0.0,0.0
contig_18091_13,0.0,0.0,0.0,0.0
contig_18091_12,0.0,0.0,0.0,0.0
contig_18091_15,0.0,0.0,0.0,0.0
contig_18091_14,0.0,0.0,0.0,0.0
contig_18091_17,0.0,0.0,0.0,0.0
contig_18091_16,0.0,0.0,0.0,0.0
contig_18091_19,0.0,3.0,0.0,2.0
contig_18091_18,0.0,0.0,0.0,0.0
contig_18058_100,0.0,3.0,0.0,2.0
contig_18060_60,0.0,3.0,0.0,2.0
contig_18060_61,0.0,3.0,0.0,3.0
contig_18060_62,0.0,3.0,0.0,2.0
contig_18060_63,3.0,3.0,0.0,1.0
contig_18060_64,0.0,2.0,0.0,1.0
contig_18060_65,0.0,2.0,0.0,2.0
contig_18246_2,0.0,2.0,0.0,1.0
contig_18060_9,0.0,0.0,0.0,0.0
contig_18060_8,0.0,0.0,0.0,0.0
contig_18060_5,0.0,6.0,3.0,0.0
contig_18060_4,4.0,4.0,7.0,0.0
contig_18060_7,0.0,0.0,0.0,0.0
contig_18060_6,0.0,1.0,0.0,0.0
contig_18060_1,0.0,1.0,30.0,0.0
contig_18060_3,0.0,2.0,3.0,0.0
contig_18060_2,0.0,3.0,30.0,0.0
contig_18066_9,0.0,3.0,0.0,0.0
contig_18066_8,6.0,3.0,0.0,7.0
contig_18066_7,0.0,0.0,0.0,2.0
contig_18066_6,0.0,0.0,0.0,0.0
contig_18066_5,0.0,0.0,0.0,0.0
contig_18066_4,0.0,1.0,0.0,0.0
contig_18066_3,0.0,3.0,0.0,1.0
contig_18066_2,0.0,4.0,0.0,0.0
contig_18066_1,2.0,3.0,0.0,1.0
contig_18095_19,19.0,3.0,5.0,4.0
contig_18095_18,10.0,5.0,19.0,12.0
contig_18095_15,0.0,2.0,0.0,0.0
contig_18095_14,0.0,2.0,0.0,0.0
contig_18095_17,5.0,4.0,2.0,2.0
contig_18095_16,7.0,3.0,1.0,2.0
contig_18095_11,0.0,0.0,0.0,0.0
contig_18095_10,0.0,0.0,0.0,0.0
contig_18095_13,0.0,2.0,0.0,0.0
contig_18095_12,0.0,0.0,0.0,0.0
contig_18064_1,0.0,0.0,0.0,0.0
contig_18064_3,0.0,0.0,0.0,0.0
contig_18064_2,0.0,0.0,0.0,0.0
contig_18064_5,0.0,3.0,0.0,2.0
contig_18064_4,5.0,2.0,0.0,0.0
contig_18064_7,0.0,2.0,0.0,0.0
contig_18064_6,0.0,3.0,0.0,0.0
contig_18064_9,0.0,1.0,0.0,0.0
contig_18064_8,0.0,3.0,0.0,0.0
contig_18084_10,0.0,0.0,0.0,0.0
contig_18143_10,0.0,0.0,0.0,0.0
contig_18083_31,0.0,3.0,0.0,2.0
contig_18093_19,1.0,3.0,0.0,2.0
contig_18093_18,7.0,3.0,0.0,1.0
contig_18093_13,0.0,0.0,1.0,1.0
contig_18093_12,0.0,0.0,0.0,0.0
contig_18093_11,0.0,0.0,0.0,0.0
contig_18093_10,0.0,1.0,0.0,0.0
contig_18093_17,3.0,3.0,0.0,2.0
contig_18093_16,0.0,0.0,0.0,0.0
contig_18093_15,0.0,0.0,0.0,0.0
contig_18093_14,0.0,0.0,0.0,0.0
contig_18062_9,13.0,3.0,1.0,0.0
contig_18062_8,1.0,4.0,0.0,3.0
contig_18062_3,6.0,4.0,0.0,0.0
contig_18062_2,0.0,3.0,0.0,3.0
contig_18062_1,7.0,3.0,6.0,10.0
contig_18062_7,0.0,2.0,0.0,0.0
contig_18062_6,0.0,3.0,1.0,2.0
contig_18062_5,0.0,2.0,0.0,0.0
contig_18062_4,7.0,4.0,0.0,0.0
contig_18064_15,0.0,0.0,0.0,0.0
contig_18064_14,0.0,0.0,0.0,0.0
contig_18064_17,0.0,0.0,0.0,0.0
contig_18064_16,0.0,0.0,0.0,0.0
contig_18064_11,0.0,0.0,0.0,0.0
contig_18064_10,0.0,0.0,0.0,0.0
contig_18064_13,0.0,0.0,0.0,0.0
contig_18064_12,0.0,1.0,0.0,0.0
contig_18064_19,2.0,4.0,1.0,1.0
contig_18064_18,1.0,3.0,8.0,0.0
contig_18187_1,0.0,2.0,0.0,0.0
contig_18187_3,0.0,4.0,0.0,0.0
contig_18187_2,0.0,4.0,0.0,0.0
contig_18187_5,0.0,0.0,0.0,0.0
contig_18187_4,0.0,3.0,0.0,0.0
contig_18148_8,0.0,2.0,0.0,2.0
contig_18187_6,0.0,0.0,0.0,0.0
contig_18148_6,0.0,0.0,0.0,0.0
contig_18148_7,0.0,0.0,0.0,0.0
contig_18148_4,1.0,3.0,0.0,2.0
contig_18148_5,0.0,1.0,0.0,1.0
contig_18148_2,0.0,3.0,0.0,3.0
contig_18148_3,7.0,3.0,0.0,3.0
contig_18148_1,8.0,3.0,0.0,4.0
contig_18114_18,0.0,0.0,0.0,0.0
contig_18069_49,0.0,0.0,0.0,0.0
contig_18069_48,0.0,1.0,0.0,0.0
contig_18069_45,0.0,3.0,0.0,0.0
contig_18069_44,0.0,0.0,0.0,0.0
contig_18069_47,0.0,0.0,0.0,0.0
contig_18069_46,0.0,1.0,0.0,0.0
contig_18069_41,0.0,0.0,0.0,0.0
contig_18069_40,0.0,0.0,0.0,0.0
contig_18069_43,0.0,0.0,0.0,0.0
contig_18069_42,0.0,0.0,0.0,0.0
contig_18159_8,0.0,2.0,0.0,0.0
contig_18181_3,0.0,3.0,0.0,0.0
contig_18181_2,0.0,3.0,0.0,0.0
contig_18181_1,0.0,3.0,0.0,0.0
contig_18159_9,0.0,3.0,0.0,5.0
contig_18181_5,1.0,2.0,0.0,1.0
contig_18181_4,0.0,3.0,0.0,0.0
contig_18065_30,0.0,0.0,0.0,0.0
contig_18065_31,0.0,0.0,0.0,0.0
contig_18065_32,0.0,0.0,0.0,0.0
contig_18065_33,0.0,0.0,0.0,0.0
contig_18065_34,0.0,2.0,0.0,0.0
contig_18065_35,5.0,5.0,0.0,1.0
contig_18065_36,0.0,3.0,0.0,0.0
contig_18065_37,0.0,2.0,0.0,0.0
contig_18065_38,0.0,2.0,0.0,1.0
contig_18065_39,0.0,2.0,0.0,0.0
contig_18183_1,0.0,3.0,1.0,2.0
contig_18183_3,0.0,4.0,0.0,0.0
contig_18183_2,0.0,2.0,0.0,0.0
contig_18150_5,0.0,3.0,0.0,0.0
contig_18149_11,0.0,0.0,0.0,1.0
contig_18150_4,0.0,4.0,0.0,0.0
contig_18185_7,0.0,4.0,0.0,0.0
contig_18185_6,0.0,4.0,0.0,0.0
contig_18185_5,0.0,5.0,0.0,0.0
contig_18185_4,0.0,4.0,0.0,0.0
contig_18185_3,0.0,5.0,0.0,0.0
contig_18185_2,0.0,3.0,0.0,0.0
contig_18185_1,0.0,5.0,0.0,0.0
contig_18103_5,0.0,0.0,0.0,0.0
contig_18103_4,0.0,0.0,0.0,0.0
contig_18103_7,0.0,1.0,0.0,0.0
contig_18150_6,0.0,2.0,0.0,0.0
contig_18147_9,0.0,0.0,0.0,0.0
contig_18147_8,0.0,0.0,0.0,0.0
contig_18103_3,0.0,0.0,0.0,0.0
contig_18103_2,0.0,0.0,0.0,0.0
contig_18147_5,0.0,1.0,1.0,0.0
contig_18150_1,0.0,3.0,0.0,0.0
contig_18147_7,0.0,0.0,0.0,0.0
contig_18147_6,0.0,0.0,0.0,0.0
contig_18147_1,0.0,0.0,0.0,0.0
contig_18103_8,0.0,0.0,0.0,0.0
contig_18254_2,0.0,2.0,23.0,0.0
contig_18147_2,0.0,0.0,0.0,0.0
contig_18105_7,0.0,0.0,0.0,0.0
contig_18105_6,0.0,0.0,0.0,0.0
contig_18105_5,0.0,0.0,0.0,0.0
contig_18105_4,10.0,2.0,0.0,0.0
contig_18105_3,25.0,3.0,0.0,3.0
contig_18105_2,0.0,0.0,34.0,6.0
contig_18105_1,0.0,0.0,34.0,6.0
contig_18141_8,0.0,3.0,0.0,0.0
contig_18141_7,0.0,3.0,0.0,0.0
contig_18141_6,1.0,3.0,0.0,1.0
contig_18141_5,0.0,3.0,0.0,0.0
contig_18150_2,0.0,3.0,0.0,0.0
contig_18141_3,7.0,4.0,7.0,11.0
contig_18141_2,0.0,3.0,0.0,1.0
contig_18105_9,0.0,0.0,0.0,0.0
contig_18105_8,0.0,0.0,0.0,0.0
contig_18143_1,0.0,0.0,0.0,0.0
contig_18143_3,0.0,2.0,9.0,0.0
contig_18143_2,0.0,1.0,7.0,0.0
contig_18143_5,0.0,2.0,6.0,0.0
contig_18143_4,0.0,1.0,8.0,0.0
contig_18143_7,0.0,0.0,0.0,0.0
contig_18143_6,0.0,0.0,0.0,0.0
contig_18143_9,0.0,0.0,0.0,0.0
contig_18143_8,0.0,1.0,0.0,0.0
contig_18125_15,0.0,2.0,0.0,0.0
contig_18125_14,0.0,2.0,0.0,0.0
contig_18125_17,0.0,2.0,0.0,0.0
contig_18125_16,0.0,2.0,0.0,0.0
contig_18125_11,0.0,0.0,0.0,0.0
contig_18125_10,0.0,0.0,0.0,0.0
contig_18125_13,0.0,2.0,0.0,0.0
contig_18125_12,0.0,1.0,0.0,0.0
contig_18125_18,0.0,2.0,0.0,0.0
contig_18156_4,0.0,3.0,0.0,1.0
contig_18254_1,0.0,2.0,16.0,0.0
contig_18101_3,0.0,3.0,1.0,0.0
contig_18101_2,0.0,3.0,0.0,3.0
contig_18101_1,0.0,3.0,0.0,2.0
contig_18145_8,0.0,0.0,0.0,0.0
contig_18101_7,8.0,2.0,0.0,4.0
contig_18101_6,4.0,4.0,0.0,11.0
contig_18101_5,5.0,3.0,0.0,10.0
contig_18101_4,0.0,3.0,0.0,0.0
contig_18145_3,0.0,3.0,0.0,0.0
contig_18145_2,0.0,3.0,0.0,0.0
contig_18101_9,0.0,0.0,0.0,0.0
contig_18101_8,0.0,0.0,0.0,0.0
