,0,1,2
contig_18731_1,1.0,1.0,1.0
contig_18731_2,1.0,1.0,1.0
contig_18731_3,1.0,1.0,1.0
contig_18671_9,1.0,1.0,1.0
contig_18671_8,1.0,1.0,1.0
contig_18737_2,1.0,1.0,1.0
contig_18737_1,1.0,1.0,1.0
contig_18671_1,1.0,1.0,1.0
contig_18671_3,1.0,1.0,1.0
contig_18671_2,1.0,1.0,1.0
contig_18671_5,1.0,1.0,1.0
contig_18671_4,1.0,1.0,1.0
contig_18671_7,1.0,1.0,1.0
contig_18671_6,1.0,1.0,1.0
contig_18623_18,1.0,1.0,1.0
contig_18623_19,1.0,1.0,1.0
contig_18623_16,1.0,1.0,1.0
contig_18623_17,1.0,1.0,1.0
contig_18623_14,1.0,1.0,1.0
contig_18735_3,1.0,1.0,1.0
contig_18735_4,1.0,1.0,1.0
contig_18735_5,1.0,1.0,1.0
contig_18623_10,1.0,1.0,1.0
contig_18623_11,1.0,1.0,1.0
contig_18621_10,1.0,0.0,1.0
contig_18621_11,1.0,1.0,1.0
contig_18621_12,1.0,1.0,1.0
contig_18621_13,1.0,1.0,1.0
contig_18577_74,1.0,0.0,1.0
contig_18577_75,1.0,0.0,1.0
contig_18577_76,1.0,0.0,1.0
contig_18577_77,1.0,0.0,1.0
contig_18577_70,1.0,0.0,1.0
contig_18577_71,1.0,1.0,1.0
contig_18577_72,1.0,1.0,1.0
contig_18577_73,0.0,1.0,1.0
contig_18677_9,1.0,1.0,1.0
contig_18677_8,1.0,0.0,1.0
contig_18577_78,1.0,0.0,1.0
contig_18577_79,1.0,0.0,1.0
contig_18675_5,1.0,0.0,1.0
contig_18675_4,1.0,0.0,1.0
contig_18675_7,1.0,0.0,1.0
contig_18675_6,1.0,1.0,1.0
contig_18675_1,1.0,1.0,1.0
contig_18675_3,1.0,1.0,1.0
contig_18675_2,1.0,1.0,1.0
contig_18675_9,1.0,1.0,1.0
contig_18675_8,1.0,0.0,1.0
contig_18590_16,1.0,0.0,1.0
contig_18578_13,1.0,1.0,1.0
contig_18578_12,1.0,0.0,1.0
contig_18578_11,1.0,1.0,1.0
contig_18578_10,1.0,1.0,1.0
contig_18578_17,1.0,1.0,1.0
contig_18578_16,1.0,1.0,1.0
contig_18578_15,1.0,1.0,1.0
contig_18578_14,1.0,0.0,1.0
contig_18578_19,1.0,1.0,1.0
contig_18578_18,1.0,1.0,1.0
contig_18681_1,1.0,1.0,1.0
contig_18681_2,1.0,1.0,1.0
contig_18681_3,1.0,1.0,1.0
contig_18681_4,1.0,1.0,1.0
contig_18681_5,1.0,1.0,1.0
contig_18681_6,1.0,1.0,1.0
contig_18681_7,1.0,1.0,1.0
contig_18618_10,1.0,0.0,1.0
contig_18618_11,1.0,1.0,1.0
contig_18618_12,1.0,1.0,1.0
contig_18618_13,1.0,1.0,1.0
contig_18618_14,0.0,1.0,1.0
contig_18618_15,1.0,1.0,1.0
contig_18747_1,1.0,1.0,1.0
contig_18687_2,1.0,1.0,1.0
contig_18687_3,1.0,1.0,1.0
contig_18687_1,0.0,0.0,1.0
contig_18687_6,1.0,1.0,1.0
contig_18687_4,1.0,1.0,1.0
contig_18687_5,1.0,1.0,1.0
contig_18648_11,1.0,1.0,1.0
contig_18648_10,1.0,1.0,1.0
contig_18648_13,1.0,0.0,1.0
contig_18648_12,1.0,1.0,1.0
contig_18685_4,1.0,0.0,1.0
contig_18685_5,1.0,1.0,1.0
contig_18685_1,1.0,1.0,1.0
contig_18685_2,1.0,1.0,1.0
contig_18685_3,1.0,1.0,1.0
contig_18683_8,1.0,1.0,1.0
contig_18683_9,1.0,1.0,1.0
contig_18732_3,1.0,1.0,0.0
contig_18732_2,1.0,0.0,1.0
contig_18732_1,1.0,1.0,0.0
contig_18683_5,1.0,1.0,1.0
contig_18683_2,1.0,1.0,1.0
contig_18683_3,1.0,1.0,1.0
contig_18732_5,1.0,1.0,0.0
contig_18732_4,1.0,1.0,0.0
contig_18730_4,1.0,1.0,1.0
contig_18730_1,1.0,1.0,0.0
contig_18730_3,1.0,1.0,1.0
contig_18730_2,1.0,1.0,1.0
contig_18688_1,1.0,1.0,1.0
contig_18586_34,1.0,1.0,1.0
contig_18688_3,1.0,1.0,1.0
contig_18688_2,1.0,0.0,1.0
contig_18688_5,1.0,1.0,1.0
contig_18688_4,1.0,1.0,1.0
contig_18688_7,1.0,1.0,1.0
contig_18688_6,1.0,1.0,1.0
contig_18756_2,1.0,1.0,1.0
contig_18586_30,1.0,1.0,1.0
contig_18586_31,1.0,1.0,1.0
contig_18586_32,1.0,1.0,1.0
contig_18586_33,0.0,1.0,1.0
contig_18616_12,0.0,0.0,1.0
contig_18738_4,1.0,1.0,1.0
contig_18616_10,1.0,1.0,1.0
contig_18616_11,1.0,1.0,1.0
contig_18738_1,1.0,1.0,1.0
contig_18616_17,1.0,0.0,1.0
contig_18738_3,1.0,1.0,1.0
contig_18738_2,1.0,1.0,1.0
contig_18616_18,1.0,1.0,1.0
contig_18616_19,1.0,1.0,1.0
contig_18592_22,1.0,0.0,0.0
contig_18592_23,1.0,0.0,0.0
contig_18592_20,1.0,0.0,0.0
contig_18625_20,1.0,0.0,1.0
contig_18582_18,1.0,1.0,1.0
contig_18592_21,1.0,1.0,0.0
contig_18582_12,1.0,0.0,1.0
contig_18582_13,1.0,0.0,1.0
contig_18582_10,1.0,0.0,1.0
contig_18582_11,1.0,0.0,1.0
contig_18582_16,1.0,0.0,1.0
contig_18582_17,1.0,0.0,1.0
contig_18582_14,1.0,0.0,1.0
contig_18582_15,1.0,0.0,1.0
contig_18592_24,1.0,1.0,0.0
contig_18592_25,1.0,0.0,1.0
contig_18580_40,1.0,0.0,1.0
contig_18584_18,1.0,0.0,1.0
contig_18584_19,1.0,0.0,1.0
contig_18584_10,1.0,1.0,0.0
contig_18584_11,1.0,1.0,1.0
contig_18584_12,1.0,1.0,1.0
contig_18584_13,1.0,0.0,1.0
contig_18584_14,1.0,0.0,1.0
contig_18584_15,1.0,0.0,1.0
contig_18584_16,1.0,0.0,1.0
contig_18584_17,0.0,0.0,1.0
contig_18667_1,1.0,0.0,1.0
contig_18587_29,1.0,1.0,1.0
contig_18588_8,1.0,1.0,1.0
contig_18631_20,1.0,1.0,1.0
contig_18631_21,1.0,1.0,1.0
contig_18631_22,1.0,1.0,1.0
contig_18588_9,1.0,1.0,1.0
contig_18716_2,1.0,1.0,1.0
contig_18583_36,1.0,0.0,1.0
contig_18579_47,0.0,1.0,1.0
contig_18579_46,0.0,1.0,1.0
contig_18579_45,1.0,1.0,1.0
contig_18579_44,1.0,1.0,1.0
contig_18579_43,1.0,1.0,1.0
contig_18579_42,1.0,1.0,1.0
contig_18579_41,1.0,0.0,1.0
contig_18579_40,1.0,1.0,1.0
contig_18580_18,1.0,1.0,1.0
contig_18580_19,1.0,1.0,1.0
contig_18579_49,1.0,1.0,1.0
contig_18579_48,1.0,1.0,1.0
contig_18603_17,1.0,1.0,1.0
contig_18586_18,1.0,1.0,1.0
contig_18586_19,1.0,0.0,1.0
contig_18586_16,1.0,1.0,1.0
contig_18586_17,1.0,0.0,1.0
contig_18586_14,1.0,1.0,1.0
contig_18586_15,1.0,0.0,1.0
contig_18586_12,1.0,1.0,1.0
contig_18586_13,1.0,0.0,1.0
contig_18599_22,1.0,1.0,1.0
contig_18586_11,1.0,0.0,1.0
contig_18577_41,1.0,1.0,1.0
contig_18577_40,1.0,1.0,1.0
contig_18577_43,1.0,1.0,1.0
contig_18577_42,1.0,0.0,1.0
contig_18577_45,1.0,0.0,1.0
contig_18577_44,1.0,1.0,1.0
contig_18577_47,1.0,0.0,1.0
contig_18577_46,1.0,1.0,1.0
contig_18577_49,1.0,1.0,1.0
contig_18577_48,1.0,1.0,1.0
contig_18651_3,1.0,1.0,1.0
contig_18651_2,1.0,0.0,1.0
contig_18663_1,1.0,0.0,1.0
contig_18585_22,1.0,1.0,1.0
contig_18663_2,1.0,1.0,1.0
contig_18588_3,1.0,0.0,1.0
contig_18585_23,1.0,1.0,1.0
contig_18663_3,1.0,1.0,1.0
contig_18761_3,1.0,0.0,1.0
contig_18761_2,1.0,0.0,1.0
contig_18761_1,1.0,1.0,1.0
