,0,1,2,3,4,5,6
contig_21693_6,0.0,2.0,0.0,1.0,0.0,0.0,0.0
contig_21693_1,0.0,3.0,3.0,1.0,0.0,0.0,0.0
contig_22051_1,0.0,0.0,1.0,1.0,1.0,1.0,0.0
contig_21693_3,0.0,2.0,0.0,1.0,0.0,1.0,0.0
contig_21693_2,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_22047_5,0.0,3.0,0.0,1.0,2.0,1.0,0.0
contig_21839_5,0.0,0.0,0.0,0.0,1.0,1.0,0.0
contig_22047_4,0.0,1.0,0.0,1.0,0.0,1.0,0.0
contig_21839_4,0.0,3.0,0.0,0.0,2.0,1.0,0.0
contig_22093_4,0.0,0.0,1.0,1.0,0.0,1.0,0.0
contig_22093_2,0.0,7.0,2.0,1.0,3.0,1.0,0.0
contig_22093_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_22093_1,0.0,5.0,0.0,1.0,0.0,0.0,0.0
contig_22047_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
contig_21661_10,0.0,0.0,0.0,1.0,0.0,1.0,0.0
contig_21661_11,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21699_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21699_2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21699_1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21699_7,5.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21699_6,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_21699_5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
contig_21699_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21699_9,2.0,2.0,4.0,0.0,0.0,1.0,0.0
contig_21699_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig_21913_2,0.0,3.0,0.0,0.0,0.0,1.0,0.0
contig_21913_3,0.0,4.0,0.0,0.0,4.0,1.0,0.0
contig_21913_1,0.0,0.0,0.0,1.0,3.0,1.0,2.0
contig_21911_1,2.0,5.0,0.0,0.0,0.0,1.0,0.0
contig_21911_2,0.0,3.0,0.0,0.0,1.0,1.0,0.0
contig_21911_3,0.0,3.0,0.0,0.0,1.0,1.0,0.0
contig_21911_4,0.0,0.0,0.0,0.0,1.0,1.0,1.0
contig_21911_5,0.0,2.0,0.0,0.0,1.0,1.0,0.0
contig_21964_3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_22233_2,0.0,4.0,0.0,1.0,0.0,0.0,0.0
contig_22233_3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_21659_3,0.0,0.0,0.0,1.0,0.0,1.0,0.0
