,0,1
contig_20363_1,0.0,1.0
contig_20361_1,1.0,0.0
contig_20361_2,1.0,0.0
contig_20361_3,0.0,0.0
contig_20367_2,0.0,0.0
contig_20367_1,0.0,0.0
contig_20322_4,7.0,1.0
contig_20322_3,11.0,1.0
contig_20322_2,17.0,0.0
contig_20322_1,4.0,1.0
contig_20365_2,3.0,1.0
contig_20365_3,0.0,1.0
contig_20365_4,0.0,1.0
contig_20365_5,0.0,1.0
contig_19982_9,3.0,0.0
contig_19982_8,0.0,0.0
contig_19955_9,1.0,1.0
contig_19955_8,0.0,1.0
contig_19982_3,0.0,1.0
contig_19982_2,1.0,1.0
contig_19982_1,5.0,1.0
contig_19955_4,0.0,0.0
contig_19982_7,0.0,0.0
contig_19982_6,0.0,0.0
contig_19982_5,0.0,0.0
contig_19982_4,1.0,1.0
contig_19980_8,0.0,0.0
contig_19980_5,0.0,0.0
contig_19980_4,0.0,0.0
contig_19980_7,0.0,0.0
contig_19980_6,0.0,0.0
contig_19980_1,0.0,1.0
contig_19980_3,0.0,0.0
contig_19980_2,1.0,1.0
contig_19957_1,0.0,0.0
contig_19957_3,1.0,0.0
contig_19957_2,0.0,0.0
contig_19957_5,0.0,0.0
contig_19957_4,0.0,0.0
contig_19957_7,0.0,0.0
contig_19957_6,0.0,0.0
contig_19957_9,0.0,1.0
contig_19957_8,0.0,0.0
contig_19949_12,0.0,0.0
contig_19949_13,1.0,0.0
contig_19949_10,0.0,0.0
contig_19949_11,0.0,0.0
contig_19949_16,0.0,0.0
contig_19949_14,0.0,0.0
contig_19949_15,0.0,0.0
contig_19988_5,0.0,1.0
contig_19988_4,0.0,1.0
contig_19988_7,0.0,0.0
contig_19988_6,0.0,0.0
contig_19988_1,0.0,1.0
contig_20249_2,2.0,0.0
contig_20249_1,0.0,0.0
contig_19988_2,0.0,1.0
contig_19988_9,0.0,0.0
contig_19988_8,0.0,0.0
contig_19985_8,2.0,1.0
contig_19985_9,0.0,1.0
contig_19985_1,5.0,1.0
contig_19985_2,0.0,1.0
contig_19985_3,0.0,1.0
contig_19985_4,0.0,1.0
contig_19985_5,0.0,0.0
contig_19985_6,0.0,0.0
contig_19985_7,0.0,0.0
contig_20260_1,1.0,1.0
contig_20268_2,0.0,0.0
contig_20260_3,6.0,0.0
contig_20244_2,4.0,1.0
contig_20244_3,0.0,1.0
contig_20244_1,3.0,0.0
contig_20244_4,0.0,1.0
contig_20246_4,0.0,1.0
contig_20246_1,0.0,0.0
contig_20246_2,0.0,0.0
contig_20246_3,0.0,0.0
contig_19981_4,5.0,1.0
contig_19981_5,6.0,1.0
contig_19981_6,4.0,1.0
contig_19981_7,3.0,1.0
contig_20240_2,2.0,0.0
contig_19981_1,0.0,0.0
contig_19981_2,0.0,0.0
contig_19981_3,0.0,1.0
contig_19981_8,0.0,1.0
contig_19981_9,0.0,1.0
contig_19987_6,0.0,0.0
contig_19987_7,0.0,0.0
contig_19987_4,0.0,0.0
contig_19987_5,0.0,0.0
contig_19987_2,0.0,0.0
contig_19987_3,0.0,0.0
contig_19987_1,1.0,0.0
contig_20242_1,4.0,2.0
contig_20242_2,4.0,1.0
contig_19987_8,0.0,0.0
contig_19987_9,0.0,0.0
contig_20333_4,0.0,1.0
contig_20059_5,9.0,0.0
contig_20333_1,0.0,1.0
contig_20333_3,1.0,1.0
contig_20333_2,0.0,1.0
contig_20335_3,1.0,1.0
contig_20335_2,2.0,1.0
contig_20335_1,0.0,1.0
contig_20268_6,0.0,0.0
contig_19999_10,0.0,1.0
contig_20142_1,0.0,0.0
contig_20139_3,12.0,0.0
contig_19963_10,0.0,1.0
contig_19963_11,0.0,0.0
contig_20331_3,2.0,1.0
contig_20331_2,0.0,1.0
contig_20331_4,0.0,1.0
contig_20001_7,0.0,1.0
contig_20338_2,0.0,1.0
contig_20338_3,0.0,1.0
contig_20338_1,0.0,1.0
contig_20014_13,0.0,0.0
contig_20014_12,0.0,0.0
contig_20338_4,0.0,1.0
contig_20014_10,0.0,0.0
contig_20054_3,0.0,1.0
contig_20054_2,0.0,1.0
contig_20054_1,0.0,1.0
contig_20054_7,0.0,1.0
contig_20052_3,0.0,1.0
contig_20054_5,0.0,1.0
contig_20054_4,0.0,1.0
contig_19961_10,0.0,1.0
contig_19961_11,0.0,0.0
contig_19961_12,0.0,0.0
contig_20068_8,0.0,1.0
contig_20056_5,0.0,0.0
contig_20056_4,0.0,0.0
contig_20056_6,0.0,0.0
contig_20056_1,0.0,1.0
contig_20056_3,0.0,0.0
contig_20056_2,0.0,0.0
contig_20052_6,0.0,0.0
contig_19950_1,0.0,0.0
contig_20231_2,0.0,1.0
contig_20231_3,0.0,1.0
contig_20231_1,0.0,0.0
contig_20058_6,0.0,0.0
contig_20058_5,1.0,0.0
contig_20058_4,0.0,0.0
contig_20058_3,0.0,0.0
contig_20058_2,0.0,1.0
contig_20058_1,0.0,0.0
contig_20145_3,3.0,1.0
contig_20336_1,1.0,0.0
contig_20336_2,0.0,0.0
contig_20336_3,0.0,0.0
contig_20085_1,0.0,0.0
contig_20017_1,0.0,1.0
contig_20017_2,0.0,1.0
contig_20017_3,0.0,1.0
contig_20017_4,0.0,1.0
contig_20017_5,2.0,1.0
contig_20017_6,1.0,0.0
contig_20017_7,0.0,0.0
contig_20239_2,0.0,0.0
contig_20239_3,0.0,0.0
contig_20053_2,0.0,1.0
contig_20239_1,0.0,0.0
contig_20053_4,0.0,1.0
contig_20053_5,0.0,1.0
contig_20053_6,0.0,1.0
contig_20019_2,7.0,1.0
contig_20019_3,5.0,1.0
contig_20019_1,2.0,1.0
contig_20019_6,5.0,1.0
contig_20019_7,16.0,0.0
contig_20019_4,1.0,1.0
contig_20019_5,2.0,1.0
contig_19951_8,6.0,1.0
contig_20099_2,0.0,2.0
contig_20099_1,2.0,1.0
contig_20236_1,2.0,1.0
contig_20236_3,3.0,1.0
contig_20236_2,1.0,2.0
contig_20236_5,2.0,1.0
contig_20236_4,11.0,1.0
contig_20011_2,0.0,0.0
contig_20011_3,0.0,0.0
contig_20011_1,0.0,0.0
contig_20011_6,0.0,1.0
contig_20011_7,0.0,1.0
contig_20011_4,0.0,1.0
