,0,1,2
contig_18731_1,0.0,0.0,1.0
contig_18731_2,1.0,1.0,1.0
contig_18731_3,0.0,0.0,1.0
contig_18671_9,1.0,0.0,1.0
contig_18671_8,0.0,1.0,1.0
contig_18737_2,0.0,0.0,1.0
contig_18737_1,0.0,0.0,1.0
contig_18671_1,0.0,0.0,1.0
contig_18671_3,0.0,0.0,1.0
contig_18671_2,0.0,0.0,1.0
contig_18671_5,0.0,0.0,1.0
contig_18671_4,0.0,1.0,1.0
contig_18671_7,0.0,0.0,1.0
contig_18671_6,0.0,0.0,1.0
contig_18623_18,0.0,0.0,1.0
contig_18623_19,0.0,0.0,1.0
contig_18623_16,2.0,2.0,1.0
contig_18623_17,0.0,0.0,1.0
contig_18623_14,0.0,0.0,1.0
contig_18735_3,0.0,0.0,1.0
contig_18735_4,0.0,2.0,1.0
contig_18735_5,2.0,6.0,1.0
contig_18623_10,0.0,0.0,1.0
contig_18623_11,0.0,0.0,1.0
contig_18621_10,0.0,0.0,1.0
contig_18621_11,0.0,0.0,1.0
contig_18621_12,0.0,0.0,1.0
contig_18621_13,0.0,0.0,1.0
contig_18577_74,0.0,0.0,1.0
contig_18577_75,0.0,0.0,1.0
contig_18577_76,0.0,0.0,1.0
contig_18577_77,0.0,0.0,1.0
contig_18577_70,0.0,0.0,1.0
contig_18577_71,0.0,0.0,1.0
contig_18577_72,0.0,0.0,1.0
contig_18577_73,0.0,0.0,1.0
contig_18677_9,1.0,0.0,1.0
contig_18677_8,0.0,0.0,1.0
contig_18577_78,0.0,0.0,1.0
contig_18577_79,0.0,0.0,1.0
contig_18675_5,0.0,0.0,1.0
contig_18675_4,0.0,0.0,1.0
contig_18675_7,0.0,0.0,1.0
contig_18675_6,0.0,0.0,1.0
contig_18675_1,0.0,0.0,1.0
contig_18675_3,0.0,0.0,1.0
contig_18675_2,0.0,0.0,1.0
contig_18675_9,2.0,4.0,1.0
contig_18675_8,0.0,0.0,1.0
contig_18590_16,0.0,0.0,1.0
contig_18578_13,0.0,0.0,1.0
contig_18578_12,0.0,0.0,1.0
contig_18578_11,0.0,0.0,1.0
contig_18578_10,0.0,1.0,0.0
contig_18578_17,0.0,3.0,0.0
contig_18578_16,0.0,1.0,1.0
contig_18578_15,0.0,0.0,1.0
contig_18578_14,0.0,0.0,1.0
contig_18578_19,0.0,1.0,1.0
contig_18578_18,0.0,0.0,1.0
contig_18681_1,0.0,0.0,1.0
contig_18681_2,0.0,2.0,1.0
contig_18681_3,0.0,3.0,1.0
contig_18681_4,0.0,3.0,1.0
contig_18681_5,0.0,2.0,1.0
contig_18681_6,0.0,2.0,1.0
contig_18681_7,0.0,0.0,1.0
contig_18618_10,0.0,0.0,1.0
contig_18618_11,0.0,3.0,1.0
contig_18618_12,0.0,0.0,1.0
contig_18618_13,0.0,0.0,1.0
contig_18618_14,0.0,0.0,1.0
contig_18618_15,0.0,0.0,1.0
contig_18747_1,0.0,1.0,1.0
contig_18687_2,0.0,0.0,1.0
contig_18687_3,0.0,0.0,1.0
contig_18687_1,0.0,0.0,1.0
contig_18687_6,0.0,0.0,1.0
contig_18687_4,0.0,0.0,1.0
contig_18687_5,0.0,0.0,1.0
contig_18648_11,0.0,0.0,1.0
contig_18648_10,0.0,0.0,1.0
contig_18648_13,0.0,0.0,1.0
contig_18648_12,0.0,0.0,1.0
contig_18685_4,0.0,0.0,1.0
contig_18685_5,0.0,0.0,1.0
contig_18685_1,0.0,0.0,1.0
contig_18685_2,0.0,2.0,1.0
contig_18685_3,0.0,1.0,1.0
contig_18683_8,0.0,0.0,1.0
contig_18683_9,0.0,0.0,1.0
contig_18732_3,0.0,1.0,0.0
contig_18732_2,0.0,0.0,0.0
contig_18732_1,0.0,0.0,0.0
contig_18683_5,0.0,0.0,1.0
contig_18683_2,0.0,0.0,1.0
contig_18683_3,0.0,0.0,1.0
contig_18732_5,0.0,0.0,0.0
contig_18732_4,0.0,0.0,0.0
contig_18730_4,0.0,0.0,1.0
contig_18730_1,0.0,0.0,0.0
contig_18730_3,0.0,1.0,1.0
contig_18730_2,0.0,3.0,0.0
contig_18688_1,0.0,0.0,1.0
contig_18586_34,0.0,1.0,1.0
contig_18688_3,0.0,0.0,1.0
contig_18688_2,0.0,0.0,1.0
contig_18688_5,1.0,4.0,1.0
contig_18688_4,0.0,0.0,1.0
contig_18688_7,0.0,0.0,1.0
contig_18688_6,1.0,0.0,1.0
contig_18756_2,1.0,0.0,1.0
contig_18586_30,0.0,1.0,1.0
contig_18586_31,0.0,0.0,1.0
contig_18586_32,0.0,0.0,1.0
contig_18586_33,0.0,1.0,1.0
contig_18616_12,0.0,0.0,1.0
contig_18738_4,0.0,3.0,0.0
contig_18616_10,0.0,0.0,1.0
contig_18616_11,0.0,0.0,1.0
contig_18738_1,0.0,0.0,1.0
contig_18616_17,0.0,0.0,1.0
contig_18738_3,0.0,0.0,1.0
contig_18738_2,0.0,0.0,1.0
contig_18616_18,0.0,0.0,1.0
contig_18616_19,0.0,0.0,1.0
contig_18592_22,0.0,0.0,0.0
contig_18592_23,0.0,0.0,0.0
contig_18592_20,0.0,0.0,0.0
contig_18625_20,0.0,0.0,1.0
contig_18582_18,0.0,0.0,1.0
contig_18592_21,0.0,0.0,0.0
contig_18582_12,0.0,0.0,1.0
contig_18582_13,0.0,0.0,1.0
contig_18582_10,0.0,0.0,1.0
contig_18582_11,0.0,0.0,1.0
contig_18582_16,0.0,0.0,1.0
contig_18582_17,0.0,0.0,1.0
contig_18582_14,0.0,0.0,1.0
contig_18582_15,0.0,0.0,1.0
contig_18592_24,0.0,0.0,0.0
contig_18592_25,0.0,0.0,1.0
contig_18580_40,0.0,0.0,1.0
contig_18584_18,0.0,0.0,1.0
contig_18584_19,0.0,0.0,1.0
contig_18584_10,0.0,0.0,0.0
contig_18584_11,0.0,1.0,0.0
contig_18584_12,1.0,1.0,1.0
contig_18584_13,0.0,0.0,1.0
